"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","newinc_pulm_labconf_rdx","newinc_pulm_clindx_rdx","newinc_ep_rdx","nrr","nrr_tx","conf_rr_nfqr","conf_rr_nfqr_tx","unconf_rr_nfqr_tx","rr_nfqr_014_tx","conf_rr_fqr","conf_rr_fqr_tx","nrr_hpmz_used","nrr_hpmz_tx","nrr_2hrze2hr_used","nrr_2hrze2hr_tx","mdrxdr_bpalm_used","mdrxdr_bpalm_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","rr_dst_rlt_bdq","rr_bdqr","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","vr_data_available","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Barbados","BB",2023,2,0,0,0,0,0,0,,2,2,0,2,2,0,0,2,0,220,0,0,0,,,0,0,,0,1,0,0,0,1,0,0,0,0,,,0,0,,0,1,0,0,0,1,0,0,60,2,,,,2,2,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,2,0,0,0,,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,132,0,1430,0,132,,,0,,,,,,,,,0,,,
"Belarus","BY",2023,1117,71,86,272,2,7,126,12,1274,1555,407,1681,1117,377,0,0,1,220,2,1,6,,,9,21,,85,273,356,305,137,1186,0,1,2,1,,,6,7,,38,70,74,46,115,356,0,13,60,1451,,,,983,983,450,419,0,2,244,214,3,,0,,1,221,1,181,1,231,452,1117,377,405,253,272,185,1117,377,431,260,405,253,371,249,658,244,4,7,,9,224,,,,,546,12,1,1542,126,116,,,,,,17,1222,,,450,1222,915,979,0,,,,,,,,,0,,,
"Belgium","BE",2023,152,36,65,,,,616,74,253,253,616,869,35,369,117,558,1,220,1,1,1,,,28,23,,49,21,34,17,20,192,0,1,0,2,,,1,4,,16,17,5,4,8,55,0,6,62,,0,0,0,858,498,11,9,0,0,0,0,0,,0,,1,7,0,,1,8,15,35,364,1,8,,,35,361,1,24,1,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,111300,,
"Belize","BZ",2023,64,7,0,9,1,0,0,,71,81,10,81,64,9,0,10,1,220,1,0,0,,,2,4,,11,23,5,7,9,61,0,0,0,0,,,2,3,,1,3,4,2,4,19,0,1,62,,73,8,0,76,76,3,3,0,0,1,1,0,,0,,0,,0,,1,1,1,59,9,1,2,,,,,,,,,,,2,0,,,,,,,,,,,,1,78,12,11,1,0,0,0,11,3,193,185,1766,63,193,,,0,,,,,,,,,1,2280,,9
"Benin","BJ",2023,3419,420,284,182,0,0,90,,4123,4305,272,4395,3419,272,0,0,1,221,32,,,41,,,,368,702,700,549,310,196,2825,0,42,,,67,,,,286,336,270,205,105,96,1298,0,182,60,2832,,,,4351,4351,44,36,0,4,1,1,0,,0,,0,,0,,1,36,36,3419,272,24,20,,,21,82,10,10,21,15,10,6,44,1,,,,,,,,,,,,1,4152,499,472,,,,,529,310,9833,10144,58505,,,,,0,,,,,,,,,0,,,
"Bermuda","BM",2023,2,0,0,0,0,0,0,,2,2,0,2,2,0,0,2,1,220,0,0,0,,,0,0,,0,2,0,0,0,2,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,60,0,,,,2,2,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,1,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,0,,,
"Bhutan","BT",2023,465,45,283,35,1,11,24,,793,840,71,864,464,51,1,4,1,221,2,,,12,,,,118,110,70,34,36,40,408,0,1,,,7,,,,175,119,52,15,22,27,410,0,22,60,692,,,,801,801,59,59,0,0,4,4,0,,0,,0,,1,28,1,35,63,464,51,47,5,,,355,28,52,6,36,4,35,4,34,4,,,,,,,,,4,0,0,0,864,6,6,,,,,1,1,1,,,,,,,0,,,,,,,,,0,,,
"Bolivia (Plurinational State of)","BO",2023,6628,455,1568,646,0,25,269,,8651,9322,940,9591,6628,915,0,0,1,221,36,,,103,,,,1141,1357,882,756,754,1045,5935,1,22,,,124,,,,632,653,435,357,367,657,3101,0,285,60,3287,,,,9301,9301,145,109,0,0,0,0,0,,0,,0,,0,,1,79,109,6427,847,94,51,,,6427,847,68,46,94,51,55,33,29,0,,,,,,,,,,,,0,8537,474,,0,,,,269,,,,,1791,3269,,,0,,,,,,,,,0,,,
"Bosnia and Herzegovina","BA",2023,352,25,34,31,2,0,2,0,411,444,35,446,352,31,0,3,1,220,0,1,0,,,1,12,,30,23,45,62,80,253,0,0,0,0,,,3,8,,31,15,18,20,95,190,,1,0,,,,,137,137,0,0,0,0,,,1,9,0,,0,,,,0,,,343,25,0,0,,,146,19,10,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Botswana","BW",2023,1421,92,203,29,6,2,0,,1716,1753,37,1753,1389,29,32,35,,221,43,,,29,,,,100,179,237,205,126,128,975,0,30,,,35,,,,121,149,136,106,66,63,641,0,137,62,,1450,98,205,1697,1697,56,56,0,0,0,0,0,,0,,1,10,1,0,1,46,56,1389,29,56,0,,,56,0,56,0,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1526,676,599,1,103,17,15,1337,587,8878,32332,339716,,,30209,32332,0,,,,,,,,,0,,,
"Brazil","BR",2023,57187,17373,10263,5400,1511,451,13519,,84823,92185,20881,105704,56906,15132,281,843,1,220,776,365,488,,,2554,6923,,15678,12946,10065,7784,6658,62608,50,553,325,599,,,1938,2937,,5397,5067,4096,3342,3635,26412,9,3106,62,,39262,3311,3253,104332,104332,1372,768,69,9,23,23,0,,0,,0,,1,763,0,,0,36873,10621,814,451,,,9042,2834,282,147,219,135,79,47,202,23,0,1,0,0,2,0,0,3,17,20,0,1,77648,9017,4703,1,2073,66,31,4217,,,,,,,,,0,,,,,,,,,1,1463546,74734,6668
"British Virgin Islands","VG",2023,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,220,0,0,0,,,0,0,,0,0,0,0,0,0,,0,0,0,,,0,0,,0,0,0,0,0,0,,0,5,,,,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,1,0,0,0
"Brunei Darussalam","BN",2023,153,42,51,12,1,1,0,,246,260,14,260,153,12,0,63,1,220,3,0,0,,,3,11,,28,20,35,28,42,167,0,0,0,0,,,3,11,,10,15,21,11,19,90,0,3,0,,,,,259,259,0,0,0,0,0,0,0,,0,,0,,3,,3,,0,153,12,0,0,,,152,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,5,5,,,,,4,1,51,,,,,,,0,,,,,,,,,0,,,
"Bulgaria","BG",2023,377,237,161,43,33,7,23,7,775,858,106,881,377,57,0,4,1,220,5,5,4,,,12,18,,45,80,132,95,124,506,0,3,2,1,,,7,15,,39,63,44,57,107,332,0,20,62,,0,0,0,870,870,10,10,0,0,1,1,,,,,,,,,,,,223,38,7,4,,,223,38,14,5,7,4,6,3,10,1,0,0,0,0,1,0,0,0,0,10,0,1,634,3,,,,,,,,,,,,,,,0,,,,,,,,,1,,,32
"Burkina Faso","BF",2023,5524,1444,1159,432,83,25,417,,8127,8667,957,9084,5500,824,24,,1,221,75,,,97,,,,775,1587,1675,1104,684,522,6347,,49,,,83,,,,308,396,397,330,286,299,2016,,304,60,5737,,,,8960,8960,123,109,1,1,2,2,0,,0,,1,2,1,0,1,108,112,4042,776,70,55,,,25,28,23,22,25,28,23,22,53,2,0,0,0,0,0,0,0,0,2,0,0,1,8418,549,513,,,,,510,230,7999,2657,81767,2657,7999,,,0,,,,,,,,,0,,,
"Burundi","BI",2023,4785,815,1874,266,99,109,78,,7474,7948,552,8026,4785,266,0,0,0,221,57,,,141,,,,620,1300,1323,946,632,498,5319,0,41,,,104,,,,404,567,497,370,297,233,2368,0,343,60,2302,,,,7976,7976,50,50,0,0,0,0,0,,0,,0,,0,,1,13,50,3273,50,45,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7520,440,428,,,,,1117,87,6424,15247,76484,3052,6424,,,0,,,,,,,,,0,,,
"Cabo Verde","CV",2023,137,13,23,19,0,5,0,,173,197,24,197,137,19,0,4,,221,1,,,2,,,,17,16,50,30,11,3,127,0,1,,,3,,,,10,21,12,9,7,4,63,0,7,0,,,,,192,192,5,0,0,0,5,5,0,,0,,0,,0,,0,,5,3,2,3,2,,,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,197,22,22,,,,,20,9,289,,,,,,,0,,,,,,,,,1,2,2,2
"Cambodia","KH",2023,13113,7340,11488,181,123,25,138,,31941,32270,467,32408,13112,223,1,,,221,1321,,,3111,,,,929,1372,2229,2678,3492,3628,14328,,728,,,1990,,,,813,1129,1392,1456,2525,3352,10667,,7150,,,,,,32286,32286,122,122,122,0,7,7,0,,0,,0,,1,48,1,78,25,,,59,70,,,124,83,88,40,59,70,23,27,129,7,,,,,,,,,,,,0,29250,373,358,,,,,376,38,4970,5800,67703,2471,4970,7337,9778,0,,,,,,,,,0,,,
"Cameroon","CM",2023,16166,4634,3008,1321,0,0,576,,23808,25129,1897,25705,16166,1897,0,0,1,221,264,,,431,,,,2381,4007,3634,2667,1675,1166,15530,0,272,,,493,,,,1738,1961,1808,1219,778,635,8139,0,1460,60,5174,,,,25524,25524,180,158,0,3,1,1,0,,0,,0,,0,,1,158,159,5174,1888,90,84,,,91,27,23,16,29,20,22,14,99,0,,,,,,,,,,,,0,24855,4120,4023,0,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Canada","CA",2023,1337,175,616,70,7,13,,,2128,2218,90,2218,939,70,398,1638,1,221,34,,,30,,,,175,203,189,146,148,284,1145,0,32,,,40,,,,144,202,146,109,113,206,920,0,136,0,,,,,2181,,32,,,,2,,3,,3,,3,,3,,3,,,655,35,16,4,,,653,35,57,7,15,4,13,4,16,1,,,,,,,,,,,,1,1251,36,,1,36,1,,,,,,,,,,,0,,,,,,,,,0,,,
"Cayman Islands","KY",2023,0,3,0,0,0,0,0,,3,3,0,3,0,0,0,3,0,220,0,0,0,,,0,0,,1,1,0,0,0,2,0,0,0,0,,,0,0,,1,0,0,0,0,1,0,0,62,,0,3,0,3,3,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,1,308,0,0
"Central African Republic","CF",2023,7789,4011,2452,261,202,67,134,,14252,14782,664,14916,7777,377,12,0,1,221,402,,,651,,,,1335,1886,1776,1304,662,378,7341,100,390,,,648,,,,1020,1479,1267,790,410,224,5190,60,2091,60,4817,,,,14782,14782,134,107,0,8,0,0,0,,0,,0,,0,,1,107,107,1324,101,102,28,,,102,28,102,28,102,28,102,28,32,0,0,0,0,0,0,0,0,0,0,0,0,1,12418,2848,2793,0,,,,2762,2804,8672,990,63560,,,,,0,,,,,,,,,0,,,
"Chad","TD",2023,10119,3420,1385,643,170,35,407,,14924,15772,1255,16179,10119,913,0,,1,221,244,,,322,,,,1604,2932,2557,1615,940,649,10297,0,168,,,233,,,,908,1210,1002,637,462,289,4508,0,967,60,7086,,,,15995,15995,184,142,0,2,1,1,0,,0,,1,1,0,,1,142,143,6520,906,148,36,,,148,36,1,2,148,36,1,2,7,1,0,0,1,0,0,0,0,0,0,0,0,1,13767,1520,1519,,,,,1519,,,6178,69188,801,7929,,,0,,,,,,,,,0,,,
"Chile","CL",2023,2293,133,548,148,5,24,196,,2974,3151,373,3347,2293,344,0,985,1,220,15,11,20,,,63,160,,400,354,312,317,358,1964,0,20,19,26,,,50,85,,233,158,144,170,236,1076,0,111,60,2533,,,,3278,3278,67,66,1,2,2,2,0,,0,,0,,0,,1,66,68,2128,275,48,15,,,2128,275,83,15,48,15,28,5,63,2,0,0,0,0,2,0,0,0,0,63,0,1,2931,272,,1,103,0,,186,120,3992,113,52610,85,3992,43,122,0,,,,,,,,,1,121981,4838,251
"China","CN",2023,326625,168788,29458,31180,8386,481,7894,,524871,564918,47941,572812,326625,36392,,23,1,221,195,,,2751,,,,27202,36191,37773,66187,83060,130918,381331,0,136,,,3378,,,,21766,24699,20522,24515,28859,56766,177127,0,6460,60,419716,,,,557894,555749,13380,11797,0,63,1538,1343,0,,0,,0,,1,9979,1,1394,11373,290480,33175,8903,6015,28302,5127,145342,14655,13362,3534,6166,3470,4455,2589,5034,1538,2,3,19,0,71,105,2,4,1332,82,4,1,383393,4925,,1,6460,10,,,,,,,,,,,0,,,,,,,,,0,,,
"China, Hong Kong SAR","HK",2023,2090,305,599,125,62,37,23,,2994,3218,247,3241,2090,144,0,306,1,220,1,2,4,,,8,21,,77,103,190,416,1213,2028,0,2,1,4,,,18,33,,136,170,169,193,457,1176,0,14,0,,,,,3214,2989,22,22,0,0,5,5,0,,0,,0,,1,26,1,1,27,1999,125,18,7,,,1999,125,112,18,18,7,11,7,25,5,0,0,0,1,4,0,0,0,0,24,1,1,2547,20,19,,,,,,,,,,,,,,0,,,,,,,,,1,,,
"China, Macao SAR","MO",2023,230,28,35,20,0,2,0,,293,315,22,315,219,20,11,42,1,220,0,0,1,,,4,7,,18,13,20,48,117,227,0,1,0,1,,,2,3,,16,12,11,14,27,85,0,3,60,276,,,,306,284,7,5,0,0,2,2,0,,0,,0,,1,7,0,,7,213,19,5,2,,,200,16,16,3,4,2,4,2,6,2,,,,,,,,,2,,,1,293,3,2,,,,,,,,,,,,,,0,,,,,,,,,1,2981,133,7
"Colombia","CO",2023,14524,2148,2805,407,55,31,890,,19477,19970,1383,20860,14266,1058,258,1191,1,220,160,82,97,,,529,1311,,3049,2053,1470,1697,2644,12753,0,112,66,112,,,407,617,,1240,942,869,940,1573,6588,0,629,62,,11581,856,2101,19749,19392,350,318,5,4,10,8,0,,0,,1,5,1,286,1,32,270,9772,817,245,105,,,9772,817,262,143,245,105,89,45,,9,0,2,0,0,4,0,0,0,3,,,1,19134,2090,1005,1,456,6,4,1005,490,13606,2329,138097,174,13606,1385,2616,0,,,,,,,,,1,265282,3013,1496
"Comoros","KM",2023,50,21,33,3,0,0,4,,104,107,7,111,50,3,0,7,1,221,3,,,3,,,,17,11,9,8,4,7,56,0,3,,,1,,,,6,11,4,8,7,5,41,0,10,60,78,,,,110,110,1,1,0,0,1,1,0,,0,,1,1,0,,1,1,1,50,3,1,0,,,50,0,49,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,2,2,,,,,2,1,19,,,,,,,0,,,,,,,,,0,,,
"Congo","CG",2023,7384,3994,2791,118,56,27,144,,14169,14370,345,14514,7384,118,0,0,1,221,173,,,337,,,,1465,1889,1788,1260,720,482,7604,0,168,,,433,,,,1109,1168,1095,926,679,678,5655,0,1111,60,5914,,,,14286,14286,228,228,228,7,38,38,0,,0,,0,,1,228,1,228,228,5796,118,158,70,,,5796,118,130,60,158,70,130,60,228,38,0,38,0,0,0,0,0,0,0,0,0,1,11818,1357,1155,0,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Cook Islands","CK",2023,4,0,0,0,0,0,0,,4,4,0,4,4,0,0,1,0,220,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,2,2,,1,60,4,,,,4,4,0,0,0,0,0,0,0,,0,,0,,0,,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Costa Rica","CR",2023,382,21,60,11,0,0,0,,463,474,11,474,382,11,0,98,1,220,3,2,1,,,10,15,,87,48,39,47,61,307,0,8,3,3,,,10,7,,26,33,17,23,31,147,0,20,62,,144,0,20,450,450,3,3,0,0,0,0,0,,0,,0,,1,3,0,,3,382,11,3,0,,,382,11,15,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,437,50,,1,12,0,0,,,,,,,,,,0,,,,,,,,,1,29189,501,30
"Côte d'Ivoire","CI",2023,15417,1771,2960,1457,136,107,494,,20148,21848,2194,22342,15397,1940,20,,1,221,122,,,307,,,,2189,3428,3748,2555,1344,939,14203,1,94,,,365,,,,1387,1589,1553,999,686,542,6756,0,888,62,,11545,713,433,21856,21856,459,422,0,8,28,21,0,,0,,1,12,1,9,1,422,443,10215,1790,320,164,,,245,25,239,24,245,25,239,24,347,28,0,0,0,0,0,0,0,0,28,0,0,1,21608,2771,2700,,,,,2634,,,,,19697,83084,6561,7787,0,,,,,,,,,0,,,
"Croatia","HR",2023,216,10,28,4,0,2,5,0,254,260,11,265,168,9,48,41,1,220,2,0,0,,,0,5,,16,27,27,44,51,170,0,0,1,0,,,1,4,,10,12,8,14,38,87,0,3,62,,41,0,7,265,216,0,0,0,0,0,0,,,,,,,,,,,,145,6,0,0,,,145,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuba","CU",2023,520,114,70,42,5,2,24,,704,753,73,777,520,65,0,0,1,220,4,3,2,,,10,19,,99,103,144,115,76,566,,0,1,3,,,2,14,,29,27,31,34,37,174,,13,62,,227,26,19,758,758,19,19,0,0,0,0,0,,0,,0,,0,,1,19,19,207,20,15,3,,,105,13,1,0,4,1,0,0,7,0,,,,,,,,,,,,1,753,58,58,1,13,1,1,53,53,1955,1795,28612,1614,1955,7243,7789,0,,,,,,,,,1,117740,1075,50
"Curaçao","CW",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cyprus","CY",2023,54,8,15,1,0,0,3,1,77,78,4,81,52,3,2,71,1,220,0,0,2,,,5,7,,16,6,2,5,3,44,0,1,0,0,,,0,9,,10,8,4,0,0,31,0,3,62,,42,0,9,81,81,0,0,0,0,0,0,,,,,,,,,,,,51,3,0,0,,,51,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Czechia","CZ",2023,347,37,55,10,1,0,9,0,439,450,20,459,347,18,0,227,1,220,7,6,2,,,3,15,,52,69,60,48,56,303,0,10,3,1,,,4,4,,18,27,18,14,33,118,0,29,62,,321,19,45,431,406,28,27,0,0,0,0,,,,,,,,,,,,319,13,25,0,,,319,13,46,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,301,18,,,,,,,,,,,,,,,0,,,,,,,,,1,112795,3368,28
"Democratic People's Republic of Korea","KP",2023,19645,38212,16289,4213,0,0,4685,,74146,78359,8898,83044,19645,8898,0,0,1,221,414,,,1848,,,,4857,8722,12032,12152,6396,2529,46688,0,319,,,1255,,,,3378,5751,7473,6701,3279,1253,27835,0,3836,0,,,,,83044,83044,0,257,0,0,0,0,0,,0,,0,,0,,0,,0,0,421,0,257,421,257,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Democratic Republic of the Congo","CD",2023,145252,61874,44744,3612,1906,681,2446,,251870,258069,8645,260515,145252,4831,0,,1,221,5170,,,12686,,,,23293,30185,29313,22380,15493,9735,130399,77,4420,,,12338,,,,19172,20139,19342,15491,11658,7088,92890,89,34614,60,35436,,,,257952,255857,1415,1267,0,56,45,44,0,,0,,1,30,1,14,1,1267,663,30150,3399,751,664,2735,664,756,664,384,399,751,664,379,399,637,45,0,0,0,0,0,0,0,0,45,0,0,1,200962,13096,11826,0,,,,,5445,83436,,,49209,83436,,,0,,,,,,,,,0,,,
"Denmark","DK",2023,106,20,48,,,,19,2,174,174,19,193,106,16,0,138,1,220,1,0,2,,,2,6,,18,16,21,17,18,98,0,3,0,4,,,1,7,,16,13,8,8,12,65,0,10,62,,104,17,43,187,149,5,3,0,1,1,0,,,,,,,,,,,,105,14,2,0,,,105,14,4,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,123,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Djibouti","DJ",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,24,235,122,2295,122,235,,,,,,,,,,,,,,,
"Dominica","DM",2023,4,0,0,0,0,0,0,,4,4,0,4,4,0,0,0,1,220,0,0,0,,,0,1,,0,0,0,0,0,1,0,0,0,0,,,0,0,,0,0,1,2,0,3,0,0,0,,,,,4,4,0,0,0,0,0,0,0,,1,4,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,1,744,,0
"Dominican Republic","DO",2023,2530,1077,326,261,165,18,273,,3933,4377,717,4650,2530,426,0,548,1,220,26,19,25,,,68,211,,692,617,525,365,309,2787,0,15,31,26,,,66,137,,339,288,231,187,200,1448,0,142,62,,2663,688,169,4476,4394,174,162,8,1,10,8,0,,0,,1,107,1,5,1,63,178,2394,407,132,42,,,184,39,88,25,75,23,73,23,113,10,0,0,0,1,3,0,0,0,6,28,1,1,4117,940,821,1,130,13,8,811,259,7942,1039,51775,146,7942,766,1115,0,,,,,,,,,1,51335,7046,300
"Ecuador","EC",2023,5613,943,1225,429,63,28,447,,7781,8301,967,8748,5613,876,0,184,1,221,118,,,102,,,,973,1415,1107,682,605,650,5432,0,90,,,118,,,,471,480,444,320,309,417,2441,0,428,62,,4529,593,562,8412,8236,321,238,7,9,15,17,0,,0,,1,17,1,10,1,235,150,5466,828,231,96,,,409,200,301,137,231,96,123,33,310,15,0,0,0,0,0,0,0,0,15,0,0,1,8272,1194,1146,1,408,25,20,,738,4681,,,,,,,0,,,,,,,,,0,,,
"Egypt","EG",2023,4470,489,4033,221,28,71,228,,8992,9312,548,9540,4470,449,0,1094,1,221,76,,,224,,,,1132,1758,1315,677,590,420,5892,0,52,,,208,,,,698,669,569,367,327,230,2860,0,560,62,,3977,513,465,9470,9470,70,64,0,2,1,1,0,,0,,0,,1,30,1,3,64,3960,92,31,39,,,3960,92,20,3,31,39,12,2,64,1,0,1,0,0,0,0,0,0,0,1,0,1,6409,68,68,,,,,68,68,4776,849,19384,,,,,0,,,,,,,,,0,,,
"El Salvador","SV",2023,2815,447,511,485,0,7,19,,3773,4265,511,4284,2815,504,0,3,1,221,31,,,54,,,,522,1357,745,321,154,244,3343,0,29,,,47,,,,76,129,111,133,140,172,761,0,161,60,3737,,,,4231,4231,37,34,0,0,0,0,0,,0,,1,22,0,,1,12,34,486,35,22,13,,,486,35,2,1,22,13,2,1,13,0,0,0,0,0,0,0,0,0,0,,,1,4091,248,207,0,,,,207,,,2599,12002,541,871,1742,2599,0,,,,,,,,,1,99,22,0
"Equatorial Guinea","GQ",2023,2226,941,190,161,113,16,119,,3357,3647,409,3766,2226,239,0,68,1,220,32,31,49,,,98,119,,453,476,254,147,93,1640,0,25,28,42,,,84,154,,575,490,267,140,90,1800,0,207,62,,2285,99,18,3715,3715,51,51,0,1,0,0,0,,0,,0,,0,,1,43,0,987,160,37,14,,,,,,,,,,,26,0,,,,,,,,,,,,1,3489,2195,1604,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Eritrea","ER",2023,770,699,605,88,35,23,17,,2074,2220,163,2237,770,88,0,0,1,221,164,,,110,,,,205,243,152,165,117,175,1057,0,113,,,78,,,,99,123,154,111,105,106,698,0,465,60,1433,,,,2211,804,26,26,0,0,0,0,0,,0,,0,,1,26,0,,26,770,88,17,9,,,25,21,12,3,12,1,9,0,9,0,,,,,,,,,,9,0,1,2198,55,55,,,,,55,13,230,164,8909,164,230,,,0,,,,,,,,,0,,,
"Estonia","EE",2023,72,4,2,17,3,0,1,0,78,98,21,99,72,18,0,24,1,220,0,0,0,,,1,1,,7,11,18,12,22,72,0,0,0,2,,,1,0,,3,7,4,1,8,24,0,2,62,,89,0,0,77,70,17,16,0,0,5,5,0,,0,,1,,1,,0,,18,72,15,13,9,,,67,15,15,9,11,9,10,9,19,5,1,1,0,0,2,1,0,0,0,18,1,1,94,12,10,,,,,,,,,,,,,,0,,,,,,,,,1,15763,211,8
"Eswatini","SZ",2023,1055,665,452,50,46,29,61,,2172,2297,186,2358,1050,90,5,13,1,220,60,32,18,,,43,70,,255,407,189,166,101,1231,,45,21,22,,,60,97,,236,204,127,84,60,868,,198,60,1838,,,,2294,2294,64,64,24,0,5,5,0,,0,,1,38,1,8,1,41,88,1050,90,45,21,,,1050,90,28,17,45,21,10,5,66,2,1,0,0,1,,,,,0,10,1,0,2297,1526,1505,1,198,60,59,1505,437,7334,5287,,,,155032,188261,0,,,,,,,,,0,,,
"Ethiopia","ET",2023,60568,33261,36807,1955,1083,1199,591,,130636,134873,4828,135464,60568,1955,0,0,1,220,2342,2184,2744,,,7232,12360,,19253,12313,8015,5260,4406,68839,0,1763,2039,2841,,,5956,9578,,14738,10008,6093,3458,2290,52121,0,13913,60,40496,,,,134691,134691,773,794,0,,4,4,0,,0,,0,,1,440,1,358,794,49490,1739,565,208,,,0,0,0,0,0,0,0,,537,4,0,0,,0,4,,0,0,,92,0,1,105472,8777,7264,0,,,,7264,4685,31450,,,25937,31450,36653,46716,0,,,,,,,,,0,,,
