"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","newinc_pulm_labconf_rdx","newinc_pulm_clindx_rdx","newinc_ep_rdx","nrr","nrr_tx","conf_rr_nfqr","conf_rr_nfqr_tx","unconf_rr_nfqr_tx","rr_nfqr_014_tx","conf_rr_fqr","conf_rr_fqr_tx","nrr_hpmz_used","nrr_hpmz_tx","nrr_2hrze2hr_used","nrr_2hrze2hr_tx","mdrxdr_bpalm_used","mdrxdr_bpalm_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","rr_dst_rlt_bdq","rr_bdqr","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","vr_data_available","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Ukraine","UA",2023,10485,4119,1545,3039,659,211,933,144,16149,20058,4842,20991,10485,3828,0,11,1,221,80,,,251,,,,472,2001,4752,4073,2118,1225,14641,0,67,,,241,,,,303,783,1264,926,654,848,4778,0,639,60,19247,,,,17231,16816,2944,3172,496,163,980,1069,1,1156,1,119,1,1717,1,1647,1,877,4241,10236,3759,2413,1347,2990,1228,10236,3759,2471,1172,2413,1347,1847,971,3641,980,0,16,0,5,596,10,0,7,346,3489,9,1,19952,3501,3259,,,,,3259,1782,11658,11241,118348,8478,11658,8698,13139,0,,,,,,,,,0,,,
"United Arab Emirates","AE",2023,31,6,36,0,0,1,3,,73,74,4,77,31,3,0,0,1,221,0,,,0,,,,3,10,15,5,9,8,50,0,1,,,1,,,,3,2,3,3,5,6,22,0,2,62,,22,4,12,77,77,0,0,0,0,0,0,0,,1,2,0,,0,,0,,0,31,3,0,0,,,19,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,3,3,,,,,3,,,,,0,139,3,3,0,,,,,,,,,1,,,
"United Kingdom of Great Britain and Northern Ireland","GB",2023,2370,469,2304,71,12,70,0,0,5143,5296,153,5296,2370,71,0,4165,1,220,29,11,40,,,150,318,,781,581,466,384,389,3069,0,33,16,38,,,82,175,,593,389,280,229,312,2060,0,167,62,,1158,86,691,5222,4950,59,56,36,5,15,15,3,,3,,1,,1,,1,,107,2100,56,44,8,,,2095,52,146,8,44,8,40,6,49,10,0,0,0,0,10,0,0,0,0,47,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,
"United Republic of Tanzania","TZ",2023,37142,39123,14275,1103,618,107,882,,90540,92368,2710,93250,37142,1516,0,156,1,220,4259,1806,1632,,,1341,3000,,8826,10876,9912,6780,7597,48332,0,3903,1578,1439,,,1100,2079,,5514,6121,5640,4138,4827,29419,0,14617,60,60740,,,,92914,91714,328,307,19,3,9,8,0,,0,,0,,1,111,1,196,315,29753,1366,215,107,,,1582,458,40,50,102,60,0,1,239,7,0,0,0,0,3,0,0,0,4,26,2,1,92208,15745,15705,1,14602,988,983,15683,8593,168919,174038,1579886,17909,168919,52191,70322,0,,,,,,,,,1,50073,4604,0
"United States of America","US",2023,6535,988,1683,,,,355,,9206,9206,355,9561,5946,248,589,7249,0,220,121,62,49,,,188,422,,1001,817,755,818,1493,5494,1,101,44,72,,,146,234,,542,504,423,481,926,3256,0,449,62,,5778,655,1091,9428,9109,129,123,48,8,4,4,1,26,1,,1,37,1,,3,,175,5406,206,100,16,,,5353,202,466,24,99,16,77,14,26,4,0,0,0,0,2,0,0,0,2,21,0,1,8139,402,,1,294,2,,,,,,,,,,,0,,,,,,,,,1,,,
"Uruguay","UY",2023,862,186,122,56,10,4,110,,1170,1240,180,1350,862,147,0,15,1,220,12,10,10,,,31,86,,198,169,139,90,113,826,0,10,19,16,,,33,32,,67,60,46,42,57,337,0,77,62,,501,105,110,1345,1322,4,4,1,1,0,0,0,,1,4,0,,0,,1,5,5,665,108,3,0,,,610,108,8,3,3,0,2,0,3,0,,,,,,,,,,,,1,1240,164,46,1,77,0,0,46,46,46,,,,,,,0,,,,,,,,,1,34677,4683,133
"Uzbekistan","UZ",2023,5296,2160,4888,1075,156,363,1561,443,12344,13938,3155,15499,5296,1814,0,0,1,220,248,383,242,,,266,373,,916,1131,1214,1387,1270,6557,0,182,265,184,,,218,300,,899,811,857,1178,1614,5877,0,1504,62,,6371,2316,5251,13493,13493,1449,1449,178,70,332,332,0,,0,,1,420,1,160,1,887,1959,5296,1814,753,542,1075,327,4945,725,950,517,753,542,722,470,1221,264,24,10,,28,202,,,,,739,61,1,,407,363,,,,,363,70,3727,,,,3727,,,0,,,,,,,,,0,,,
"Vanuatu","VU",2023,59,0,41,1,0,0,0,,100,101,1,101,59,1,0,0,1,221,2,,,1,,,,10,14,9,5,9,8,55,0,2,,,1,,,,7,7,8,7,7,4,40,0,6,60,1,,,,100,1,0,0,1,0,0,0,0,,0,,0,,0,,1,1,1,59,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,1,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Venezuela (Bolivarian Republic of)","VE",2023,7517,823,1194,625,0,6,547,,9534,10165,1178,10712,7517,1172,0,105,1,220,93,94,92,,,329,836,,1885,983,763,700,689,6185,0,85,77,95,,,274,445,,806,561,428,432,498,3444,0,536,62,,3365,458,130,10551,10551,134,134,0,1,19,19,0,,1,98,0,,1,19,1,134,153,3365,871,49,104,,,3365,871,24,43,49,104,19,40,153,19,0,0,0,0,0,0,0,0,19,0,0,1,5101,470,459,1,249,19,17,459,238,7336,522,72917,,,148,150,0,,,,,,,,,0,,,
"Viet Nam","VN",2023,65476,14629,17479,6058,567,308,1887,,97584,104517,8820,106404,65427,7347,49,25,1,221,196,,,389,,,,4667,8509,11927,15717,17260,16378,74458,,97,,,490,,,,3585,5098,4368,3899,4700,7164,28814,,1172,60,52221,,,,102867,102867,3537,3352,0,20,351,237,0,,0,,1,33,1,889,1,2222,1119,58040,7347,2411,1355,5355,412,,3152,,1039,,651,,535,3161,351,0,2,0,7,174,0,1,7,160,185,8,1,91626,2310,1827,,,,,1827,969,14147,,,7620,14147,,,,,,,,,,,,,,,
"Wallis and Futuna","WF",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen","YE",2023,3034,3358,4366,140,62,55,53,,10758,11015,310,11068,3025,184,9,,1,221,276,,,393,,,,1171,1257,928,714,636,606,5312,5,269,,,349,,,,935,961,790,685,584,453,4408,3,1287,62,,1509,,381,10990,,70,72,0,0,8,72,0,,0,,1,6,1,40,1,20,72,1364,145,41,37,,,520,57,21,15,41,37,15,14,54,8,,,,,,,,,,,,1,4612,30,,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Zambia","ZM",2023,27301,18883,2335,2424,3168,235,836,,48519,54346,6663,55182,27301,3260,,,,221,1818,,,1386,,,,2797,7500,8636,5968,2957,2872,30730,,1690,,,1319,,,,2213,3950,4012,3128,1929,2171,17403,,6213,62,,28814,22051,1124,54748,54748,402,402,32,16,1,1,0,,1,141,0,,1,365,1,69,434,25838,2409,344,58,2409,58,144,25,26,11,29,12,20,8,24,0,0,,,0,,,0,,,0,0,0,50270,16144,15704,1,5399,775,750,15704,,,181529,1273804,95058,123948,80600,82354,0,,,,,,,,,0,,,
"Zimbabwe","ZW",2023,9867,6723,1891,381,235,110,383,,18481,19207,1109,19590,9820,381,47,0,1,220,314,109,155,,,299,839,,2934,3843,2087,905,1099,12006,,277,118,163,,,288,555,,1336,1535,1082,575,694,6065,,1136,60,18096,,,,19303,19303,210,210,0,2,5,5,0,,0,,1,,1,,1,,212,9820,381,181,31,,,,,,,,,,,15,5,,,,,,,,,,0,0,1,18910,9464,8792,1,1113,303,266,8792,3152,71811,223732,1233934,56262,71811,182335,201597,0,,,,,,,,,0,,,
